company,claim,evidence,label,correct,reason,notes
Google,"18 Google researchers also built Green Light, an AI-based tool that helps city traffic engineers optimize the timing of traffic lights, which has shown the potential to reduce stops at intersections by up to 30% and reduce emissions at intersections by an average of over 10%.","“The Green Light project uses driving trends from Google Maps and artificial intelligence to map a city’s traffic patterns and then make specific recommendations for specific intersections that can be implemented very quickly by city engineers,” said Laurence Therrien, public affairs manager at Google Canada.",SUPPORTS,-,repeat,
Apple,"Our long-standing initiatives continue to yield clear results, including sourcing 100 percent renewable energy for our facilities, transitioning suppliers to renewable energy, and using low-carbon materials in our products.24 While our revenue has grown by more than 65 percent since 2015, our gross emissions have decreased by more than 60 percent during the same period.","Since 2015, the company has cut emissions by 60 per cent while increasing revenue by more than 60 per cent, showing that sustainability and business growth can go hand-in-hand, Chandler added, reported by the Pulse.",SUPPORTS,y,60% reduction in emissions claim is supported,
Amazon,"Our progress toward a net-zero carbon business will not be linear, and each year as our various businesses grow and evolve, we will produce different results.","The 2023 update to Net Zero Roadmap surveys this complex and dynamic landscape and sets out an updated pathway to net zero by 2050, taking account of the key developments that have occurred since 2021.",SUPPORTS,y,The claim itself is more of a general statement,
Amazon,"Our progress toward a net-zero carbon business will not be linear, and each year as our various businesses grow and evolve, we will produce different results.","The company notes several of its buildings have achieved Living Future's Zero Carbon Certification, including warehouses in Australia and one in the UK.",SUPPORTS,n,^^,
Amazon,"Our progress toward a net-zero carbon business will not be linear, and each year as our various businesses grow and evolve, we will produce different results.","This approach isn’t just theoretical; it’s already informing investments in carbon-free energy sources, as detailed on Amazon’s own sustainability portal.",SUPPORTS,n,^^,
Shell,"Our investments in producing low-carbon energy such as biofuels will increase our Scope 1 and 2 emissions, while reducing the net carbon intensity of the products we sell.","We are reducing our emissions, helping customers reduce theirs, and investing in the low-carbon energy system of the future.",SUPPORTS,n,The claim says they increase scope 1 and 2 emissions to reduce their product emissions (scope 3?) but the evidence claims they are reducing emissions -- this might be no enough info,
Shell,"Our investments in producing low-carbon energy such as biofuels will increase our Scope 1 and 2 emissions, while reducing the net carbon intensity of the products we sell.","'We continue to believe that low carbon molecules, including biofuels, will underpin the future energy system.",SUPPORTS,n,The evidence is related but does not support/refute the claim,
Shell,"Our investments in producing low-carbon energy such as biofuels will increase our Scope 1 and 2 emissions, while reducing the net carbon intensity of the products we sell.","“As we supply vital energy the world needs today, we are transforming our business to supply lower-carbon fuels for the future.",SUPPORTS,partially,Supports the claim that their products will be lower emission,
Microsoft,"In 2023, Microsoft increased its contracted portfolio of renewable energy assets to over 19.8 gigawatts (GW) across 21 countries.","Last year, Microsoft also invested more than US$10 billion in a combined solar and wind portfolio to install over 10.5GW of capacity to meet electricity demand from its data centres.",SUPPORTS,partially,10.5 GW is lower than the claim of 19.5,"all in all, all 3 claims support that their portfolio is going in that direction, but does not provide exact numbers to show over 19.8 gw"
Microsoft,"In 2023, Microsoft increased its contracted portfolio of renewable energy assets to over 19.8 gigawatts (GW) across 21 countries.","It also has a framework agreement with Microsoft covering over 10,500 megawatts of renewable capacity across the U.S. and Europe.",SUPPORTS,partially,^^,^^
Microsoft,"In 2023, Microsoft increased its contracted portfolio of renewable energy assets to over 19.8 gigawatts (GW) across 21 countries.","Microsoft is buying 100 megawatts of solar capacity from Japanese developer Shizen Energy, the latest in a string of renewable energy deals designed to power the tech company’s growing compute needs.",SUPPORTS,-,related but 100 Megawatts is significantly smaller than 19.8 gigawatts,^^
Amazon,"By the end of 2022, we had contracted enough renewable energy capacity through new wind and solar farms to equal the expected electricity used by all active Echo, Fire TV, and Ring devices globally by 2025.","February 09, 2023 | 10:09
On February 8, Amazon announced that in 2022 it grew its renewable energy capacity by 8.3GW through 133 new projects across 11 countries.",SUPPORTS,partially,,"right direction, but does not explicitly show that their renewables match their expected energy output"
Amazon,"By the end of 2022, we had contracted enough renewable energy capacity through new wind and solar farms to equal the expected electricity used by all active Echo, Fire TV, and Ring devices globally by 2025.","Amazon also invests heavily in renewable energy, supporting over 500 solar and wind projects that power its operations.",SUPPORTS,partially,,^^
Amazon,"By the end of 2022, we had contracted enough renewable energy capacity through new wind and solar farms to equal the expected electricity used by all active Echo, Fire TV, and Ring devices globally by 2025.","The project is expected to produce enough electricity to power approximately 10,000 US homes upon completion.",SUPPORTS,partially,,^^
Microsoft,"This year, we reflect on our progress towards our ambitious 2030 goals: to be carbon negative, water positive, and zero waste, while protecting ecosystems.","®
Updated to add at 1534 UTC, October 14
A Microsoft spokesperson got in touch to say:
Microsoft has a longstanding commitment to sustainability, and we are focused on our goals of becoming carbon negative, water positive, and zero waste by 2030.",SUPPORTS,y,"Supports the claim, but the claim itself is more of a general statement",
Microsoft,"This year, we reflect on our progress towards our ambitious 2030 goals: to be carbon negative, water positive, and zero waste, while protecting ecosystems.","""We are making long-term investments that will help us achieve our 2030 carbon negative goals,” Brandon Middaugh, general manager of sustainability markets & Climate Innovation Fund at Microsoft said.",SUPPORTS,y,^^,
Microsoft,"Microsoft also brought 45 carbon-free electricity projects online across 15 different countries through PPAs, including our first operational projects in Canada, Chile, France, Germany, Japan, and Poland.","Microsoft has emerged as a leader in securing reliable, carbon-free electricity.",SUPPORTS,n,Not enough info,
Microsoft,"Microsoft also brought 45 carbon-free electricity projects online across 15 different countries through PPAs, including our first operational projects in Canada, Chile, France, Germany, Japan, and Poland.","Microsoft's Carbon-Free Vision: From Commitments to Action
Microsoft's membership comes at a critical juncture for the nuclear industry, as data centre electricity demand is projected to grow over the next decade.",SUPPORTS,n,^^,
Apple,We require our suppliers to take part in our Zero Waste Program as part of our Supplier Code of Conduct.,"Moreover, numerous companies across the globe are committing to zero-waste goals.",SUPPORTS,n,not enough info,
Apple,We require our suppliers to take part in our Zero Waste Program as part of our Supplier Code of Conduct.,This collaboration underscores a growing trend among major corporations to secure sustainable and ethically sourced supply chains for critical materials.,SUPPORTS,partially,Mentions suppliers but does not fully support the statement,
Apple,We require our suppliers to take part in our Zero Waste Program as part of our Supplier Code of Conduct.,Multinational corporations such as Unilever and Apple Inc have publicly pledged to reduce or eliminate waste.,SUPPORTS,n,not enough info,
Microsoft,47 Overview Customer sustainability Global sustainability Appendix Microsoft sustainability 47 Carbon Water Waste Ecosystems Our approach continued Our targets Taking responsibility for our land footprint We will take responsibility for the ecosystem impacts of our direct operations by protecting more land than we use by 2025.,"Some companies (Meta, Google, Amazon and Microsoft) have pledged to offset their direct water footprint by 2030 through efficiency measures, replenishment and restoration projects.",SUPPORTS,,,
Microsoft,47 Overview Customer sustainability Global sustainability Appendix Microsoft sustainability 47 Carbon Water Waste Ecosystems Our approach continued Our targets Taking responsibility for our land footprint We will take responsibility for the ecosystem impacts of our direct operations by protecting more land than we use by 2025.,"Focus on CO2 Emissions and Carbon Footprints
This quarter's theme centered on CO2 emissions and carbon footprint reduction.",SUPPORTS,,,
Microsoft,47 Overview Customer sustainability Global sustainability Appendix Microsoft sustainability 47 Carbon Water Waste Ecosystems Our approach continued Our targets Taking responsibility for our land footprint We will take responsibility for the ecosystem impacts of our direct operations by protecting more land than we use by 2025.,Net proceeds will go to support Conservation International's efforts to protect our environment!,SUPPORTS,,,
Apple,"Each company selected was at least 51 percent owned, operated, and controlled by a Black, Hispanic/Latinx, or Indigenous individual and aligned closely with our environmental strategy, including our commitment to reach carbon neutrality by 2030.","The spokesperson emphasized that the company is still targeting all products being carbon-neutral by 2030, and added that ""the Court has broadly upheld our rigorous approach to carbon neutrality.""",SUPPORTS,,,
Apple,"Each company selected was at least 51 percent owned, operated, and controlled by a Black, Hispanic/Latinx, or Indigenous individual and aligned closely with our environmental strategy, including our commitment to reach carbon neutrality by 2030.",The Apple official also said that the company will make every effort to reduce carbon emissions across the global supply chain to achieve carbon neutrality by 2030.,SUPPORTS,,,
Exxonmobil,"• New jet fuel technology: We recently announced a new technology that can produce jet fuel using renewable methanol as the feedstock.19 This methanol has a lower carbon intensity and can be made through either gasification of biofeeds, such as wood waste, or captured CO₂ and H₂ made by electrolysis of water using renewable electricity.","A review in ScienceDirect on From Synthesis Gas Production to Methanol Synthesis emphasizes how MTG offers higher yields and better integration with existing refineries, making it a favorite for companies like ExxonMobil in their pilot projects.",SUPPORTS,,,
Exxonmobil,"• New jet fuel technology: We recently announced a new technology that can produce jet fuel using renewable methanol as the feedstock.19 This methanol has a lower carbon intensity and can be made through either gasification of biofeeds, such as wood waste, or captured CO₂ and H₂ made by electrolysis of water using renewable electricity.","Furthermore, the ongoing energy transition is driving hybrid refinery models, which incorporate renewable feedstocks like bio-oils to diversify output and reduce carbon intensity.",SUPPORTS,,,
Exxonmobil,"• New jet fuel technology: We recently announced a new technology that can produce jet fuel using renewable methanol as the feedstock.19 This methanol has a lower carbon intensity and can be made through either gasification of biofeeds, such as wood waste, or captured CO₂ and H₂ made by electrolysis of water using renewable electricity.","Key Technologies and Innovations
Beyond Fischer-Tropsch, other methods include methanol-to-gasoline (MTG) processes, where syngas is first converted to methanol and then to gasoline-range hydrocarbons.",SUPPORTS,,,
Microsoft,"In support of these targets for our suppliers, Microsoft is working in countries with a significant supply chain footprint to identify and solve for specific policy, technology, and finance barriers to carbon-free electricity access, prioritizing impact by 2030.","Microsoft isn’t alone in this, but it is a heavy hitter in both market share and the size of its carbon footprint.",SUPPORTS,,,
Microsoft,"In support of these targets for our suppliers, Microsoft is working in countries with a significant supply chain footprint to identify and solve for specific policy, technology, and finance barriers to carbon-free electricity access, prioritizing impact by 2030.","In its 2024 reporting year, Microsoft massively increased its offset purchases, contracting an amount above its full-year Scope 1, 2 and 3 emissions.”
Microsoft is alongside Google, Meta and Apple in having committed to achieving carbon neutrality across their value chains by 2030.",SUPPORTS,,,
Unilever,"However, given the importance of early action, the CTAP presented here focuses on the emissions within the scope of near-term Scope 1, 2 & 3 GHG reduction targets where we have the greatest potential to make an impact and access to better data to track our performance.",The company has a broader goal to achieve net-zero emissions across its value chain by 2039.,SUPPORTS,,,
Unilever,"However, given the importance of early action, the CTAP presented here focuses on the emissions within the scope of near-term Scope 1, 2 & 3 GHG reduction targets where we have the greatest potential to make an impact and access to better data to track our performance.",Unilever is targeting a 100% reduction in its Scope 1 and 2 emissions by 2030 (from a 2015 baseline) and aims to engage 300 of its most emissions-intensive suppliers in its Supplier Climate Programme by the end of 2024.,SUPPORTS,,,
Unilever,"However, given the importance of early action, the CTAP presented here focuses on the emissions within the scope of near-term Scope 1, 2 & 3 GHG reduction targets where we have the greatest potential to make an impact and access to better data to track our performance.",Government mandates such as the European Commission’s Circular Economy Action Plan and the U.S. EPA waste reduction initiatives are encouraging the adoption of eco-friendly alternatives.,SUPPORTS,,,
Google,86 Appendix Protecting the planet Disaster response Research Resource efficiency Supply chain energy Data center energy Age of AI Introduction Data center Zero Waste to Landfill We aim to achieve Zero Waste to Landfill for our global data center operations.,"Understanding the Scope of the Challenge
Google’s 10th annual Environmental Report underscores challenges the data center industry faces amid the AI boom.",SUPPORTS,,,
Google,86 Appendix Protecting the planet Disaster response Research Resource efficiency Supply chain energy Data center energy Age of AI Introduction Data center Zero Waste to Landfill We aim to achieve Zero Waste to Landfill for our global data center operations.,"As data centres proliferate, do we have enough clean energy for them to guzzle?",SUPPORTS,,,
Google,86 Appendix Protecting the planet Disaster response Research Resource efficiency Supply chain energy Data center energy Age of AI Introduction Data center Zero Waste to Landfill We aim to achieve Zero Waste to Landfill for our global data center operations.,"The ecological impact of data centers
The activists stated that data centers of this scale are notoriously water and energy-hungry, consuming billions of litres annually for cooling and maintenance globally.",SUPPORTS,,,
Google,Global Renewables Alliance (GRA) Google is a supporter of GRA’s campaign to triple renewable energy globally by 2030 and has supported efforts to encourage high-impact corporate clean energy purchasing as a key strategy to accelerate progress toward this ambition.,"The announcement further deepens NextEra and Google’s long-standing energy partnership, which already spans nearly 3 GW of clean energy projects across the U.S., including wind, solar, and battery assets.",SUPPORTS,,,
Google,Global Renewables Alliance (GRA) Google is a supporter of GRA’s campaign to triple renewable energy globally by 2030 and has supported efforts to encourage high-impact corporate clean energy purchasing as a key strategy to accelerate progress toward this ambition.,"Google.org has committed substantial resources to support innovative solar initiatives worldwide, focusing on projects that enhance access to clean energy for underserved communities.",SUPPORTS,,,
Microsoft,"Expanding campus initiatives At our LinkedIn campus in Omaha, Nebraska, we have been accessing direct renewable energy through our parking canopy solar installation since July 2022.",The focus will be on energy from renewable sources.,REFUTES,n,Not enough info,
Microsoft,"Expanding campus initiatives At our LinkedIn campus in Omaha, Nebraska, we have been accessing direct renewable energy through our parking canopy solar installation since July 2022.","The company plans to build solar power in a different part of Wisconsin to offset its energy use at the data centers, but Microsoft President Brad Smith said the project will entail new fossil fuel power generation near the facilities.",REFUTES,n,^^,
Apple,The reviewers note that the largest share of Apple Inc. annual carbon footprint is comprised of scope 3 emissions from individual products.,"Apple dramatically cuts Scope 3 emissions The energy used to charge Apple devices accounted for around 29% of the company’s greenhouse gas emissions in 2024, contributing a large amount to its Scope 3 emissions.",REFUTES,n,Leaning more towards support,
Apple,The reviewers note that the largest share of Apple Inc. annual carbon footprint is comprised of scope 3 emissions from individual products.,The Apple official also said that the company will make every effort to reduce carbon emissions across the global supply chain to achieve carbon neutrality by 2030.,REFUTES,n,Evidence is not related,
Shell,"We are now targeting a 15-20% reduction in the net carbon intensity of the energy products we sell by 2030, compared with 2016, against 20% previously.",The plans include cutting its scheduled investment in low-carbon energy from 20% of its capital expenditure to 10% by 2030.,REFUTES,n,Claim talks about percent reduction in carbon intensity and evidence talks about percent expenditure,
Shell,"We are now targeting a 15-20% reduction in the net carbon intensity of the energy products we sell by 2030, compared with 2016, against 20% previously.",It has set targets to ramp down its carbon emissions but this year watered them down.,REFUTES,n,Not enough info,
Exxonmobil,"We are using this approach in our Permian Basin unconventional operations, where we are on track to achieve our industry-leading plans to reach net-zero Scope 1 and 2 emissions by 2030.","With advancements in technology and the support of clear and consistent government policies, ExxonMobil aims to achieve net-zero Scope 1 and 2 greenhouse gas emissions from its operated assets by 2050.",REFUTES,n,Not enough info -- gives a different timeline but the evidence does not mention Permian Basin Operations,
Exxonmobil,"We are using this approach in our Permian Basin unconventional operations, where we are on track to achieve our industry-leading plans to reach net-zero Scope 1 and 2 emissions by 2030.","Last year, ExxonMobil announced it planned to reach net zero by 2050 for greenhouse gas emissions from its own operations.",REFUTES,n,^^,
Exxonmobil,"We are using this approach in our Permian Basin unconventional operations, where we are on track to achieve our industry-leading plans to reach net-zero Scope 1 and 2 emissions by 2030.","(World Oil)– ExxonMobil said net zero goals for the global energy sector are likely to drift further beyond 2050 due to consumers pushing back against high costs and a revival in demand for coal, the most polluting fossil fuel.",REFUTES,n,^^,
Apple,The review has not found assumptions or calculation errors on the carbon footprint data level that indicate the scope 3 carbon footprint has been materially misstated.,"These emissions fall under “Scope 3,” which covers indirect impacts related to end-use.",REFUTES,n,Not enough info,
Apple,The review has not found assumptions or calculation errors on the carbon footprint data level that indicate the scope 3 carbon footprint has been materially misstated.,"The investigation used documents, field visits and satellite images to show that the forestry company selling these carbon credits does not “comply with agrochemical regulations”.",REFUTES,n,Not enough info,
Apple,The review has not found assumptions or calculation errors on the carbon footprint data level that indicate the scope 3 carbon footprint has been materially misstated.,"The company is working toward becoming completely carbon neutral across its business, and slashing Scope 3 emissions is an integral part of that.",REFUTES,n,Not enough info - unrelated,
Apple,"And in certain situations, we purchase renewable energy certificates (RECs), which in 2024 accounted for about 4 percent of our total load.46 When possible, we aim for our RECs to share the same power grid as the Apple facility they support.","We’ve already called them out on this: Apple caught fibbing about running on 100% renewable energy
The tell will be if the new facility is hooked up to the grid or not.",REFUTES,n,Not enough info,
Apple,"And in certain situations, we purchase renewable energy certificates (RECs), which in 2024 accounted for about 4 percent of our total load.46 When possible, we aim for our RECs to share the same power grid as the Apple facility they support.",It wants to ensure the electricity its customers use to power Apple products is matched by renewables.,REFUTES,n,Not enough info,
Google,We’re focusing on accelerating a range of projects and forging strategic partnerships that will help us achieve our net-zero ambition.,"In 2021, we set out an ambition to reach net-zero emissions across all of our operations and value chain by 2030.",REFUTES,n,Leaning more towards support,
Google,We’re focusing on accelerating a range of projects and forging strategic partnerships that will help us achieve our net-zero ambition.,This glaring contradiction certainly casts a shadow on the company's ambitious net-zero goal by 2030.,REFUTES,y,questions their net-zero goal,
Nestle,"The Net Zero Roadmap has been approved by internal management and supervisory bodies, in addition to Nestlé’s shareholders, which approved it during Nestlé’s Annual General Meeting in 2021.","“We appreciate Nestlé’s ongoing commitment to acting on dairy emissions through its Dairy Climate Plan and Net Zero Roadmap,"" said Katie Anderson, senior director, business, food & forests at the EDF.",REFUTES,n,unrelated,
Nestle,"The Net Zero Roadmap has been approved by internal management and supervisory bodies, in addition to Nestlé’s shareholders, which approved it during Nestlé’s Annual General Meeting in 2021.","Nestle quits global dairy methane alliance
Food giant says it remains committed to net zero goals
Food group Nestle said on Wednesday it had withdrawn from a global alliance for cutting methane emissions that aims to reduce the impact of dairy farming on global warming, reported Reuters.",REFUTES,n,unrelated,
Nestle,"The Net Zero Roadmap has been approved by internal management and supervisory bodies, in addition to Nestlé’s shareholders, which approved it during Nestlé’s Annual General Meeting in 2021.","Nestle did not say why it was pulling out of the alliance but said it would continue working towards reducing greenhouse gas emissions, including methane, throughout its supply chains and was sticking to its net zero commitment by 2050.",REFUTES,n,unrelated,
Amazon,"In total, Amazon has announced 52 new renewable energy projects in Europe as of the end of January 2025, adding 2.5 GW of renewable energy capacity to grid in the region, for a total renewable energy capacity of 9 GW.","February 09, 2023 | 10:09
On February 8, Amazon announced that in 2022 it grew its renewable energy capacity by 8.3GW through 133 new projects across 11 countries.",REFUTES,n,unrelated,
Amazon,"In total, Amazon has announced 52 new renewable energy projects in Europe as of the end of January 2025, adding 2.5 GW of renewable energy capacity to grid in the region, for a total renewable energy capacity of 9 GW.",Amazon has more than 600 renewable energy projects worldwide.,REFUTES,n,does not refute,
Exxonmobil,Accomplishing this and moving society toward a net-zero future will require unprecedented collaboration at scale.,"This is a clear attempt to break down the longstanding consensus over climate science and net zero campaigns, despite the very strong public support for both.",REFUTES,-,Claim itself is vague,
Exxonmobil,Accomplishing this and moving society toward a net-zero future will require unprecedented collaboration at scale.,"Last year, ExxonMobil announced it planned to reach net zero by 2050 for greenhouse gas emissions from its own operations.",REFUTES,-,Claim itself is vague,
Exxonmobil,Accomplishing this and moving society toward a net-zero future will require unprecedented collaboration at scale.,"(World Oil)– ExxonMobil said net zero goals for the global energy sector are likely to drift further beyond 2050 due to consumers pushing back against high costs and a revival in demand for coal, the most polluting fossil fuel.",REFUTES,-,Claim itself is vague,
Shell,"In relation to carbon performance, although Shell's goal of becoming a net-zero emissions energy business by 2050 remains unchanged, TPI no longer considers this target to be aligned with its 1.5°C benchmark.","However, Shell’s operating plans cannot reflect our 2050 net-zero emissions target and 2035 NCI target, as these targets are currently outside our planning period.",REFUTES,n,Not enough info,
Shell,"In relation to carbon performance, although Shell's goal of becoming a net-zero emissions energy business by 2050 remains unchanged, TPI no longer considers this target to be aligned with its 1.5°C benchmark.","In the future, as society moves towards net-zero emissions, we expect Shell’s operating plans to reflect this movement.",REFUTES,n,Not enough info,
Amazon,"Learn more about how we are engaging suppliers Indirect emissions from other sources, which made up 74% of our total carbon footprint in 2024, increased 6% from 2023, primarily from data center construction and fuel consumption by third-party delivery service providers.",Data center construction and fuel use in the supply chain are causing emissions to rise.,REFUTES,n,Leaning more towards support,
Amazon,"Learn more about how we are engaging suppliers Indirect emissions from other sources, which made up 74% of our total carbon footprint in 2024, increased 6% from 2023, primarily from data center construction and fuel consumption by third-party delivery service providers.","Amazon also saw an 18% year-over-year increase in carbon pollution from its transportation and delivery services between 2019 and 2023, according to Pacific Environment.",REFUTES,n,Not enough info - unrelated,
Unilever,More information View NBI’s LobbyMap profile Recommended action(s) Encourage NBI to double-downon its pro-climate agenda and increase its engagement intensity on net zero policy.,“Unilever is committed to achieving net-zero emissions across our operations by 2039.,REFUTES,-,Claim itself is not formatted well,
Unilever,More information View NBI’s LobbyMap profile Recommended action(s) Encourage NBI to double-downon its pro-climate agenda and increase its engagement intensity on net zero policy.,"Unilever’s glossy narratives about climate action and circular packaging also face scrutiny, with analysts pointing out that some of its environmental targets have been scaled back in recent years.",REFUTES,-,Claim itself is not formatted well,
Ford,"Electric vehicles are expected to account for half of Ford’s sales by 2030, and in Europe 100% of passenger cars are expected to be all-electric by 2030 and 100% of light commercial vehicles to be zero-emission by 2035.","While a full 10% of all cars sold in the US in the last quarter were electric, Ford CEO Jim Farley said last month that he expects EV sales to fall to 5% of the US market, which would be down from about 7% of the market last year.",REFUTES,n,Not enough info,
Nestle,"Baseline year 2018 2023 2024 Target year 2025 14.9 21.3 33 In 2024, Nestlé’s usage of virgin plastic reduced by 21.3% versus the 2018 baseline, aligning with Nestlé’s Net Zero Roadmap and demonstrating the positive impact of its virgin plastic reduction projects.","By the end of 2024, Nestle had reduced methane emissions by almost 21% compared to 2018 levels, the company said in its 2024 non-financial statement.",REFUTES,n,Should be supports,Claim formatted poorly
Nestle,"Baseline year 2018 2023 2024 Target year 2025 14.9 21.3 33 In 2024, Nestlé’s usage of virgin plastic reduced by 21.3% versus the 2018 baseline, aligning with Nestlé’s Net Zero Roadmap and demonstrating the positive impact of its virgin plastic reduction projects.","A Nestle spokesperson has confirmed the new, more environmentally-friendly option will be available again for those who want to purchase it for Christmas 2025.",REFUTES,n,Not enough info - unrelated,Claim formatted poorly
Ford,"During 2022, the Plant avoided the withdrawal of more than 7 million gallons of city water use, which equates to over 32 gallons per vehicle of freshwater avoidance.",The southeast Michigan parks operator acquired the dam to maintain the approximately 250-acre water impoundment behind it and adjoining natural areas for recreational use.,NOT ENOUGH INFO,y,Evidence is not related,
Ford,"During 2022, the Plant avoided the withdrawal of more than 7 million gallons of city water use, which equates to over 32 gallons per vehicle of freshwater avoidance.","The clean water will then go into a central pond which goes back in the stream, Campeau said.",NOT ENOUGH INFO,y,,
Shell,"Also in 2023, Shell's CANSOLV® carbon capture technology won a bid for deployment at a CCS plant in Abu Dhabi, UAE.","Between 2023 and 2024, Shell has invested U.S.$8 billion in lower carbon options, including power, carbon capture and storage (CCS), hydrogen and low-carbon fuels.",NOT ENOUGH INFO,y,Evidence is not related,
Apple,"The lifetime carbon emissions of Mac mini have been reduced by over 80 percent (compared to a business-as-usual scenario).39 Enclosure The enclosure of Mac mini is about 60 percent lighter than its predecessor, which reduces the material required to make the product and lowers emissions associated with transportation.",It now advertises the M4 Mac mini as being made with 50% recycled material by weight and 100% renewable energy.,NOT ENOUGH INFO,y,,
Apple,"The lifetime carbon emissions of Mac mini have been reduced by over 80 percent (compared to a business-as-usual scenario).39 Enclosure The enclosure of Mac mini is about 60 percent lighter than its predecessor, which reduces the material required to make the product and lowers emissions associated with transportation.",A carbon neutral Mac mini followed.,NOT ENOUGH INFO,y,,
Amazon,"In 2024, we launched the Amazon Science Exchange , to address the critical technology gaps that impede Amazon and our collaborators from meeting our sustainability goals.","For industry executives, the message is clear: embracing these tools isn’t optional—it’s essential for navigating an uncertain climate future, with Amazon leading the charge through innovation and transparency.",NOT ENOUGH INFO,y,,
Amazon,"In 2024, we launched the Amazon Science Exchange , to address the critical technology gaps that impede Amazon and our collaborators from meeting our sustainability goals.","At the world-leading global climate event, which is the biggest of its kind, Gorilla Technology and ONE AMAZON will join global leaders, policymakers, financiers and industry partners to address one of the world's most urgent challenges: protecting the Amazon biome.",NOT ENOUGH INFO,y,Evidence mismatch: Amazon biome vs Amazon company,
Microsoft,"Our progress Advancing progress through advocacy In 2023, Microsoft expanded our global policy engagement to drive consistent and interoperable sustainability reporting, support certifiable long-lasting carbon removal projects, expand carbon-free electricity, advance circular economy solutions, and align AI with sustainability outcomes.",Microsoft’s pledge to achieve carbon neutrality by 2030 illustrates how sustainability enhances both impact and brand reputation.,NOT ENOUGH INFO,,,
Microsoft,"Our progress Advancing progress through advocacy In 2023, Microsoft expanded our global policy engagement to drive consistent and interoperable sustainability reporting, support certifiable long-lasting carbon removal projects, expand carbon-free electricity, advance circular economy solutions, and align AI with sustainability outcomes.",Microsoft’s promises to combat climate change is welcomed.,NOT ENOUGH INFO,,,
Apple,Hydro 4 Renewable 12 Source: eGRID 2022.,"Based in Houston, Engie North America operates 11GW of renewable capacity with additional solar, wind, and battery storage projects under construction across the region.",NOT ENOUGH INFO,,,
Apple,Hydro 4 Renewable 12 Source: eGRID 2022.,"The project will inject over one million MWh of green electricity annually, thereby reducing dependence on carbon-heavy grids.",NOT ENOUGH INFO,,,
